ms,raw,filtered,bpm,beat
3808,3735,337.27,0.0,0
3848,3693,314.34,0.0,0
3888,3704,303.07,0.0,0
3928,3739,307.66,0.0,0
3968,3756,310.48,0.0,0
4008,3771,311.42,0.0,0
4048,3757,301.7,0.0,0
4088,3766,298.41,0.0,0
4128,3739,284.36,0.0,0
4168,3725,269.0,0.0,0
4208,3741,261.91,0.0,0
4248,3736,254.2,0.0,0
4288,3735,246.42,0.0,0
4328,3723,234.77,0.0,0
4368,3723,226.55,0.0,0
4408,3726,221.6,0.0,0
4448,3736,218.53,0.0,0
4488,3741,216.2,0.0,0
4528,3740,209.68,0.0,0
4568,3734,202.47,0.0,0
4608,3726,195.48,0.0,0
4648,3753,197.27,0.0,0
4688,3741,190.28,0.0,0
4728,3752,188.49,0.0,0
4768,3755,186.77,0.0,0
4808,3743,179.59,0.0,0
4848,3743,173.81,0.0,0
4888,3742,166.13,0.0,0
4928,3742,161.44,0.0,0
4968,3769,167.79,0.0,0
5008,3801,175.41,0.0,0
5048,3770,163.67,0.0,0
5088,3756,152.63,0.0,0
5128,3756,143.55,0.0,0
5168,3775,142.35,0.0,0
5208,3789,144.44,0.0,0
5248,3787,142.76,0.0,0
5288,3787,134.25,0.0,0
5328,3800,129.91,0.0,0
5368,3803,127.72,0.0,0
5408,3805,122.07,0.0,0
5448,3807,117.35,0.0,0
5488,3832,118.26,0.0,0
5528,3853,111.14,0.0,0
5568,3854,105.63,0.0,0
5608,3852,102.49,0.0,0
5648,3870,98.74,0.0,0
5688,3868,100.88,0.0,0
5728,3823,87.31,0.0,0
5768,3865,83.99,0.0,0
5808,3871,80.31,0.0,0
5848,3881,78.55,0.0,0
5888,3866,69.96,0.0,0
5928,3915,83.03,0.0,0
5968,3928,98.19,0.0,0
6008,3935,88.78,0.0,0
6048,3932,75.36,0.0,0
6088,3947,74.45,0.0,0
6128,3961,78.05,0.0,0
6168,3992,85.77,0.0,0
6208,3980,77.56,0.0,0
6248,4007,81.06,0.0,0
6288,4029,79.16,0.0,0
6328,4031,79.19,0.0,0
6368,4043,84.54,0.0,0
6408,4073,86.82,0.0,0
6448,4092,85.12,0.0,0
6488,4095,86.12,0.0,0
6528,4095,82.44,0.0,0
6568,4095,75.52,0.0,0
6608,4095,71.72,0.0,0
6648,4095,71.08,0.0,0
6688,4095,68.01,0.0,0
6728,4095,63.64,0.0,0
6768,4095,64.2,0.0,0
6808,4095,59.27,0.0,0
6848,4095,71.91,0.0,0
6888,4095,76.85,0.0,0
6928,4075,69.18,0.0,0
6968,4095,74.02,0.0,0
7008,4095,82.82,0.0,0
7048,4094,83.73,0.0,0
7088,4095,80.22,0.0,0
7128,4095,78.36,0.0,0
7168,4095,74.28,0.0,0
7208,4095,72.06,0.0,0
7248,4095,70.77,0.0,0
7288,4095,69.14,0.0,0
7328,4095,65.93,0.0,0
